t,x,y,vd,xyd,nd,d,st
91,958.81,1131.32,0.316938,0.316938,6,6.31018,0
92,959.125,1131.35,0.317569,0.317569,6,6.30742,0
92,959.441,1131.39,0.3182,0.3182,6,5.55727,0
92,959.758,1131.43,0.318982,0.318982,6,5.59071,0
93,960.075,1131.47,0.319606,0.319606,6,5.62356,0
93,960.393,1131.51,0.320345,0.320345,6,5.65613,0
93,960.711,1131.55,0.320956,0.320956,6,5.68859,0
94,961.03,1131.59,0.321568,0.321568,6,5.72072,0
94,961.35,1131.63,0.322179,0.322179,6,5.75252,0
94,961.67,1131.67,0.322839,0.322839,6,5.78363,0
95,961.991,1131.71,0.323441,0.323441,6,5.8143,0
95,962.312,1131.76,0.324043,0.324043,6,5.84463,0
95,962.634,1131.8,0.32464,0.324639,6,5.87573,0
96,962.956,1131.84,0.325232,0.325232,6,5.90602,0
96,963.279,1131.88,0.325825,0.325825,6,5.93593,0
96,963.601,1131.93,0.32622,0.32622,6,5.96444,0
97,963.925,1131.97,0.326805,0.326805,6,5.9929,0
97,964.249,1132.02,0.32739,0.32739,6,6.02099,0
97,964.2,1132.01,0.318505,0.318505,6,6.01695,0
98,964.516,1132.06,0.319131,0.319131,6,6.04351,0
98,964.832,1132.1,0.319754,0.319755,6,6.0697,0
99,965.149,1132.15,0.320373,0.320373,6,6.09513,0
99,965.467,1132.2,0.320987,0.320986,6,6.12016,0
99,965.785,1132.25,0.321601,0.321601,6,6.14482,0
100,966.108,1132.3,0.326365,0.326365,6,6.1685,0
100,966.431,1132.35,0.326949,0.326949,6,6.19222,0
100,966.754,1132.4,0.327533,0.327533,6,6.21553,0
101,967.078,1132.45,0.328109,0.328109,6,6.23724,0
101,967.403,1132.5,0.328685,0.328685,6,6.25903,0
101,967.728,1132.55,0.329261,0.329261,6,6.28041,0
102,968.054,1132.6,0.330195,0.330195,6,6.30249,0
102,968.38,1132.66,0.33076,0.33076,6,6.32374,0
102,968.707,1132.71,0.331326,0.331326,6,6.34452,0
103,969.035,1132.76,0.332233,0.332232,6,6.36646,0
103,969.363,1132.82,0.332788,0.332788,6,6.38748,0
103,969.692,1132.87,0.333344,0.333344,6,6.40796,0
104,970.022,1132.93,0.334495,0.334495,6,6.42899,0
104,970.353,1132.98,0.335039,0.335039,6,6.449,0
104,970.684,1133.04,0.335583,0.335583,6,6.46843,0
105,971.015,1133.09,0.33612,0.336119,6,6.48708,0
105,971.347,1133.15,0.336656,0.336656,6,6.50519,0
105,971.679,1133.21,0.337192,0.337192,6,6.52268,0
106,972.011,1133.27,0.33789,0.33789,6,6.53812,0
106,972.344,1133.33,0.338417,0.338417,6,6.5533,0
107,972.677,1133.39,0.338945,0.338945,6,6.56787,0
107,973.011,1133.46,0.339685,0.339685,6,6.58089,0
107,973.345,1133.52,0.340204,0.340203,6,6.59376,0
108,973.68,1133.58,0.340723,0.340723,6,6.60601,0
108,974.015,1133.65,0.341526,0.341526,6,6.6161,0
108,974.351,1133.72,0.342036,0.342035,6,6.62603,0
109,974.686,1133.79,0.342545,0.342545,6,6.63534,0
109,975.023,1133.85,0.34318,0.34318,6,6.64516,0
109,975.36,1133.92,0.343681,0.343681,6,6.65389,0
110,975.697,1133.99,0.344183,0.344183,6,6.66196,0
110,976.034,1134.06,0.344773,0.344773,6,6.66941,0
110,976.372,1134.13,0.345266,0.345267,6,6.67611,0
111,976.711,1134.2,0.34576,0.34576,6,6.68211,0
111,977.049,1134.27,0.346294,0.346294,6,6.68815,0
112,977.389,1134.35,0.34678,0.34678,6,6.69336,0
112,977.728,1134.42,0.347266,0.347267,6,6.69784,0
112,978.068,1134.49,0.347749,0.347749,6,6.70224,0
113,978.408,1134.57,0.348228,0.348228,6,6.70541,0
113,978.748,1134.64,0.348707,0.348706,6,6.70781,0
113,979.088,1134.72,0.349026,0.349026,6,6.71072,0
114,979.429,1134.8,0.349498,0.349499,6,6.71238,0
114,979.771,1134.87,0.349971,0.34997,6,6.71324,0
114,979.819,1134.88,0.342759,0.342795,6,6.71272,0
115,980.154,1134.96,0.343269,0.34329,6,6.7118,0
115,980.488,1135.04,0.343772,0.343772,6,6.71011,0
115,980.823,1135.12,0.344301,0.344301,6,6.70682,0
116,981.158,1135.2,0.344799,0.3448,6,6.70324,0
116,981.498,1135.28,0.348668,0.348668,6,6.70002,0
116,981.837,1135.36,0.349142,0.349142,6,6.69564,0
117,982.176,1135.45,0.349617,0.349617,6,6.69043,0
117,982.516,1135.53,0.350085,0.350085,6,6.68505,0
117,982.856,1135.62,0.350552,0.350552,6,6.67872,0
118,983.197,1135.7,0.351019,0.351019,6,6.67153,0
118,983.538,1135.79,0.351778,0.351778,6,6.6624,0
118,983.879,1135.88,0.352237,0.352237,6,6.65268,0
119,984.22,1135.97,0.352696,0.352697,6,6.64213,0
